Mode	Frequency(cm^-1)	Huang-Rhys Factor (S_i)
1	92.24	0.000000
2	123.82	0.000000
3	238.02	0.000000
4	238.72	0.000000
5	274.02	0.000003
6	396.03	0.000000
7	400.72	0.000000
8	402.78	0.301015
9	490.38	0.000000
10	496.58	0.000000
11	515.28	0.000000
12	541.50	0.000000
13	599.23	0.000000
14	622.62	0.000000
15	648.23	0.014582
16	669.01	0.000000
17	754.01	0.000000
18	775.61	0.000000
19	781.13	0.024567
20	783.96	0.000000
21	802.37	0.000000
22	833.75	0.000000
23	860.20	0.000000
24	884.02	0.000000
25	923.51	0.000000
26	932.43	0.000000
27	940.65	0.000000
28	942.17	0.000000
29	989.31	0.000000
30	994.21	0.000000
31	999.49	0.000000
32	999.94	0.000000
33	1034.20	0.000000
34	1042.48	0.007635
35	1143.86	0.000000
36	1148.05	0.000000
37	1187.94	0.000000
38	1199.52	0.109452
39	1199.85	0.000003
40	1221.97	0.000000
41	1305.32	0.191673
42	1307.50	0.000007
43	1309.29	0.000000
44	1364.44	0.000000
45	1371.78	0.000000
46	1432.29	0.000000
47	1446.47	0.000000
48	1465.03	0.589020
49	1502.78	0.000000
50	1511.86	0.000000
51	1540.00	0.001113
52	1615.89	0.000000
53	1638.87	0.341195
54	1663.33	0.000000
55	1712.99	0.000000
56	1716.15	0.000000
57	3180.97	0.000000
58	3182.66	0.000000
59	3185.36	0.000000
60	3185.67	0.000000
61	3189.72	0.000000
62	3190.86	0.000005
63	3203.01	0.000000
64	3203.22	0.000000
65	3214.77	0.000000
66	3215.08	0.000592
