Mode	Frequency(cm^-1)	Huang-Rhys Factor (S_i)
1	86.26	0.000000
2	110.73	0.000000
3	235.61	0.000000
4	235.92	0.000000
5	251.82	0.000000
6	333.41	0.000000
7	387.92	0.000008
8	399.70	0.309377
9	426.40	0.000000
10	450.11	0.000000
11	519.52	0.000000
12	526.65	0.000000
13	541.01	0.000000
14	609.42	0.000000
15	611.80	0.011075
16	674.22	0.000000
17	724.98	0.000000
18	731.01	0.000000
19	736.81	0.000000
20	740.75	0.000000
21	764.99	0.017194
22	802.96	0.000000
23	840.49	0.000000
24	857.88	0.000000
25	871.30	0.000000
26	909.36	0.000000
27	916.51	0.000000
28	923.95	0.000000
29	926.66	0.000000
30	930.36	0.000000
31	935.00	0.000000
32	938.33	0.000000
33	1063.04	0.000004
34	1066.93	0.015951
35	1109.41	0.000000
36	1144.44	0.000000
37	1179.61	0.000006
38	1194.01	0.104052
39	1211.93	0.000001
40	1218.67	0.000000
41	1296.00	0.001153
42	1306.02	0.000000
43	1316.07	0.000000
44	1321.49	0.000000
45	1381.31	0.000000
46	1420.40	0.000000
47	1435.87	0.000007
48	1446.77	0.738259
49	1489.10	0.000000
50	1492.22	0.000000
51	1561.06	0.182542
52	1562.76	0.000422
53	1570.39	0.000003
54	1603.82	0.000000
55	1622.55	0.177578
56	1649.24	0.000000
57	3172.04	0.000048
58	3173.46	0.000000
59	3187.48	0.000000
60	3189.52	0.000000
61	3190.38	0.000011
62	3194.18	0.000000
63	3205.45	0.000000
64	3207.44	0.000000
65	3222.07	0.000001
66	3224.10	0.000059
