Mode	Frequency(cm^-1)	Huang-Rhys Factor (S_i)
1	92.36	0.000000
2	123.71	0.000000
3	238.11	0.000000
4	238.83	0.000000
5	273.89	0.000000
6	395.92	0.000000
7	400.82	0.000000
8	402.74	0.300565
9	490.06	0.000000
10	496.33	0.000000
11	515.20	0.000000
12	541.49	0.000000
13	599.10	0.000000
14	622.59	0.000000
15	648.24	0.014883
16	669.06	0.000000
17	754.12	0.000000
18	775.37	0.000000
19	781.03	0.025225
20	784.08	0.000000
21	802.06	0.000000
22	833.67	0.000000
23	860.27	0.000000
24	884.09	0.000000
25	923.43	0.000000
26	932.45	0.000000
27	940.45	0.000000
28	942.13	0.000000
29	989.29	0.000000
30	994.21	0.000000
31	999.55	0.000000
32	999.66	0.000000
33	1033.74	0.000000
34	1042.09	0.008717
35	1143.74	0.000000
36	1147.77	0.000000
37	1187.78	0.000000
38	1199.43	0.105288
39	1199.72	0.000000
40	1222.03	0.000000
41	1305.23	0.190762
42	1307.66	0.000000
43	1309.15	0.000000
44	1364.22	0.000000
45	1371.38	0.000000
46	1432.22	0.000000
47	1446.11	0.000000
48	1464.64	0.586097
49	1502.64	0.000000
50	1511.70	0.000000
51	1539.65	0.001136
52	1615.30	0.000000
53	1638.40	0.343454
54	1662.93	0.000000
55	1712.73	0.000000
56	1715.83	0.000000
57	3180.62	0.000000
58	3182.30	0.000000
59	3184.98	0.000000
60	3185.31	0.000000
61	3189.25	0.000000
62	3190.40	0.000008
63	3202.70	0.000000
64	3202.90	0.000000
65	3214.56	0.000000
66	3214.85	0.000616
